,stop_id,stop_name,type,location,in_lines,identifier
148,1963148,Hohenschönhauser Strasse,strassenbahn,"52.5359329,13.4729468",['3'],Q65553684
149,1963149,Holteistrasse Ecke Boxhagener Strasse,strassenbahn,"52.5088235,13.465969",['3'],Q65675805
150,1963150,Hultschiner Damm,Autobus,"52.47711373957008, 13.600598140620137",['A 8'],
151,1963151,Humannplatz,strassenbahn,"52.5493627,13.4213646",['70'],Q65962652
152,1963152,"Hönow, Dorfstrasse",Autobus,"52.54884927869554, 13.63648687804691",['A 44'],
153,1963153,Invalidenstrasse Ecke Chausseestrasse,Autobus,"52.530584371359055, 13.383078391497033",['A 59'],
154,1963154,Invalidenstrasse Ecke Chausseestrasse,strassenbahn,"52.5304158,13.3827302",['82'],Q65552697
155,1963155,Joachimstrasse,Autobus,"52.40316589631168, 13.57664158970399",['A 38'],
156,1963156,"Johannisthal, Haeckelstrasse",strassenbahn,"52.4402944,13.5052638",['69'],Q66225573
157,1963157,Johannisthaler Chaussee,Autobus,"52.45136033294721, 13.488299619950027",['A 47'],
158,1963158,Jüdenstrasse,strassenbahn,"52.51609564053117, 13.410616931384226",['71'],
159,1963159,Kali-Chemie,strassenbahn,"52.46329854840191, 13.499789773217568","['87', '92', '95']",
160,1963160,Karl-Marx-Allee,Omnibus,"52.51831920404112, 13.430003655626638",['O 40'],
161,1963161,Karlshorster Strasse,strassenbahn,"52.502334098187674, 13.475466875195085",['13'],
162,1963162,Karolinenhof Mitte,strassenbahn,"52.39176095915858, 13.634654256792825",['86'],
163,1963163,Karower Strasse/Alt-Buch,Autobus,"52.6353147366511, 13.49919747411447",['A 42'],
164,1963164,"Kaulsdorf, Bausdorfstrasse",Autobus,"52.51256368150751, 13.601906818686038",['A 49'],
165,1963165,Kienbergstrasse,Autobus,"52.37533197787343, 13.541625075853752",['A 24'],
166,1963166,Klein Ziethen,Autobus,"52.379580499215606, 13.44656986522325",['A Z'],
167,1963167,Klement-Gottwald-Allee,strassenbahn,"52.55207481375682, 13.465630856253787",['3'],
168,1963168,Klement-Gottwald-Allee Ecke Rennbahnstrasse,Autobus,"52.55694652931542, 13.466966083751453",['A 55'],","
169,1963169,Klement-Gottwald-Allee/Rennbahnstrasse,Autobus,"52.55694573710591, 13.46690169748388","['A 46', 'A 45']",
170,1963170,Klement-Gottwald-Allee/Rennbahnstrasse,strassenbahn,"52.55698366082651, 13.466917794929422",['72'],
171,1963171,"Klingenberg, Blockdammweg",strassenbahn,"52.4842462,13.5104609",['13'],Q66085182
172,1963172,Klosterstrasse,Omnibus,"52.51798604342281, 13.412126746747086",['O 30'],
173,1963173,Klosterstrasse,u-bahn,"52.516111111111, 13.412222222222",['A'],Q657893
174,1963174,Kniprodestrasse,strassenbahn,"52.5325286,13.4406868",['4'],Q65707391
175,1963175,Kniprodestrasse Ecke Dimitroffstrasse,strassenbahn,"52.53212517120371, 13.441486830298444",['13'],
176,1963176,Kniprodestrasse/Ermländische Strasse,Autobus,"52.53412263578274, 13.444622763935293",['A 57'],
177,1963177,"Kolonie ""Land im Sonne""",Autobus,"52.55462883361286, 13.511870302373488",['A 39'],
178,1963178,Konsum Wernsdorf,Autobus,"52.36448396303661, 13.698441127852544",['Schmöckwitz - Ziegenhals'],
179,1963179,Konsum Ziegenhals,Autobus,"52.353014165379946, 13.671672670712805",['Schmöckwitz - Ziegenhals'],
180,1963180,Kraftwerk Klingenberg,strassenbahn,"52.4881374,13.4958685","['82', '13']",Q66079524
181,1963181,Krankenhaus Köpenick,Autobus,"52.4388396,13.5920763",['A 27'],
182,1963182,Krankenhaus Köpenick,strassenbahn,"52.43861200573594, 13.592411258792163",['95'],
183,1963183,Kurische Strasse,Autobus,"52.53541468899389, 13.439085794623837",['A 9'],
184,1963184,Kurt-Fischer-Platz,Autobus,"52.57973292845757, 13.398330728468228",['A 7'],
185,1963185,Kurt-Fischer-Platz,strassenbahn,"52.578668,13.3983016","['22', '46']",Q65032974
186,1963186,Köllnischer Platz,strassenbahn,"52.4447189,13.5686225","['84', '86']",Q66363379
187,1963187,Königstor,Autobus,"52.52520269485428, 13.419834994127731","['A 57', 'A 9']",
188,1963188,Königstor,Omnibus,"52.52520269485428, 13.419834994127731",['O 40'],
189,1963189,Königstor,strassenbahn,"52.52821600265539, 13.423869016265495",['74'],
190,1963190,Köpenickerstrasse Ecke Adalbertstrasse,Omnibus,"52.5088020100168, 13.42459205564356",['1'],
191,1963191,Küstriner Platz,Omnibus,"52.51324778107561, 13.439333192026231","['O 30', 'O 40']",
192,1963192,LPG Falkenberg,Autobus,"52.57689764194031, 13.582483848603614",['A 46'],
193,1963193,Langhansstrasse Ecke Gustav-Adolf-Strasse,Autobus,"52.55363454206649, 13.43469073771919","['A 55', 'A 45']",
194,1963194,Leninallee,strassenbahn,"52.5259343,13.4462368",['4'],Q65553230
195,1963195,Leninallee Ecke Dimitroffstrasse,strassenbahn,"52.5259343,13.4462368",['13'],Q65553230
196,1963196,Leninplatz,Omnibus,"52.523238998562235, 13.433594583798834",['O 40'],
197,1963197,Leninplatz,strassenbahn,"52.5232658,13.4326457","['1', '63', '69', '64']",Q65553105
198,1963198,Lerchenstrasse,Autobus,"52.45518873071384, 13.734268401558374",['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],
199,1963199,Lichtenberger Strasse,strassenbahn,"52.552032612200605, 13.465689924366766","['72'], ['74']",", "
200,1963200,Lichtenberger Strasse Ecke Buschallee,strassenbahn,"52.55398925514543, 13.467683317947278",['70'],
201,1963201,Lindenberg,Autobus,"52.602597712625055, 13.5250306401055",['A L'],
202,1963202,Lindenstrasse Ecke Bahnhofstrasse,strassenbahn,"52.4505094,13.572684",['95'],Q66095701
