stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
Kochstr.,u-bahn,C I,19641200_west,"52.50589722,13.39061111",,52.50589722,13.39061111,100,Kochstr.,19651361_west,['C I'],
Hallesches Tor,u-bahn,C I,19641201_west,"52.497777777778,13.391111111111",Q658302,,,,,,,1964447.0
Mehringdamm,u-bahn,C I,19641202_west,"52.493888888889,13.388333333333",Q657905,,,,,,,1964796.0
Gneisenaustr.,u-bahn,C I,19641203_west,"52.49138889,13.39555556",,52.49138889,13.39555556,100,Gneisenaustr.,19651364_west,['C I'],
Südstern,u-bahn,C I,19641204_west,"52.48944444,13.40777778",,52.48944444,13.40777778,100,Südstern,19651365_west,['C I'],
Hermannplatz,u-bahn,C I,19641205_west,"52.48629,13.42455",Q658929,,,,,,,1964488.0
Rathaus Neukölln,u-bahn,C I,19641206_west,"52.48166667,13.43416667",,52.48166667,13.43416667,100,Rathaus Neukölln,19651367_west,['C I'],
Karl-Marx-Str.,u-bahn,C I,19641207_west,"52.47611111,13.43916667",,52.47611111,13.43916667,100,Karl-Marx-Str.,19651368_west,['C I'],
Neukölln (südring),u-bahn,C I,19641208_west,"52.469444,13.442222",,52.469444,13.442222,100,Neukölln (Südring),19651369_west,['C I'],
Grenzallee,u-bahn,C I,19641209_west,"52.46333333,13.44388889",,52.46333333,13.44388889,100,Grenzallee,19651370_west,['C I'],
Blaschkoallee,u-bahn,C I,19641210_west,"52.45194444,13.44944444",,52.45194444,13.44944444,100,Blaschkoallee,19651371_west,['C I'],
Parchimerallee,u-bahn,C I,19641211_west,"52.44472222,13.44944444",,52.44472222,13.44944444,100,Parchimerallee,19651372_west,['C I'],
Britz-Süd,u-bahn,C I,19641212_west,"52.43777778,13.44805556",,52.43777778,13.44805556,100,Britz-Süd,19651373_west,['C I'],
Mehringdamm,u-bahn,C II,19641213_west,"52.49388889,13.38833333",,52.49388889,13.38833333,100,Mehringdamm,19651374_west,['C II'],
Flughafen,u-bahn,C II,19641214_west,"52.485556,13.385833",,52.485556,13.385833,100,Flughafen,19651375_west,['C II'],
Paradestr.,u-bahn,C II,19641215_west,"52.47805556,13.38611111",,52.47805556,13.38611111,100,Paradestr.,19651376_west,['C II'],
Tempelhof (südring),u-bahn,C II,19641216_west,"52.47075,13.38536111",,52.47075,13.38536111,100,Tempelhof (Südring),19651377_west,['C II'],
Gesundbrunnen,u-bahn,D,19641217_west,"52.548611,13.389444",,52.548611,13.389444,100,Gesundbrunnen,19651378_west,['D'],
Voltastr.,u-bahn,D,19641218_west,"52.542093,13.393022",,52.542093,13.393022,100,Voltastr.,19651379_west,['D'],
Moritzplatz,u-bahn,D,19641219_west,"52.50361111,13.41083333",,52.50361111,13.41083333,100,Moritzplatz,19651380_west,['D'],
Kottbusser Tor,u-bahn,D,19641220_west,"52.499166666667,13.418055555556",Q819768,,,,,,,1964633.0
Kottbusserdamm (schönleinstr.),u-bahn,D,19641221_west,"52.49305556,13.42194444",,52.49305556,13.42194444,100,Kottbusserdamm (Schönleinstr.),19651382_west,['D'],
Hermannplatz,u-bahn,D,19641222_west,"52.48629,13.42455",,52.48629,13.42455,100,Hermannplatz,19651383_west,['D'],
Boddinstr.,u-bahn,D,19641223_west,"52.48,13.42527778",,52.48,13.42527778,100,Boddinstr.,19651384_west,['D'],
Leinestr.,u-bahn,D,19641224_west,"52.47277778,13.42833333",,52.47277778,13.42833333,100,Leinestr.,19651385_west,['D'],
Leopoldplatz,u-bahn,G,19641225_west,"52.5465,13.3591",Q1960809,,,,,,,1964709.0
Amrumerstr.,u-bahn,G,19641226_west,"52.5425,13.35027778",,52.5425,13.35027778,100,Amrumerstr.,19651387_west,['G'],
Pulitzstr.,u-bahn,G,19641227_west,"52.536795,13.342724",,52.536795,13.342724,100,Pulitzstr.,19651388_west,['G'],
Birkenstr.,u-bahn,G,19641228_west,"52.53222222,13.34138889",,52.53222222,13.34138889,100,Birkenstr.,19651389_west,['G'],
Turmstr.,u-bahn,G,19641229_west,"52.52585,13.34135278",,52.52585,13.34135278,100,Turmstr.,19651390_west,['G'],
Hansaplatz,u-bahn,G,19641230_west,"52.51777778,13.34222222",,52.51777778,13.34222222,100,Hansaplatz,19651391_west,['G'],
Zoologischer Garten,u-bahn,G,19641231_west,"52.5058669,13.3330236",Q4024764,,,,,,,19641450.0
Kurfürstendamm,u-bahn,G,19641232_west,"52.50416667,13.33277778",,52.50416667,13.33277778,100,Kurfürstendamm,19651393_west,['G'],
Spichernstr.,u-bahn,G,19641233_west,"52.49638889,13.33055556",,52.49638889,13.33055556,100,Spichernstr.,19651394_west,['G'],
Gesundbrunnen,s-bahn,KBS 100,19641234_west,"52.548611111111,13.389444444444",Q111239092,,,,,,,1964378.0
Wedding,s-bahn,KBS 100,19641235_west,"52.5425,13.3661",Q638604,,,,,,,19641368.0
Putlitzstr.,s-bahn,KBS 100,19641236_west,"52.536,13.344",,52.536,13.344,100,Putlitzstr.,19651177_west,['KBS 100'],
Beusselstr.,s-bahn,KBS 100,19641237_west,"52.53444444,13.32916667",,52.53444444,13.32916667,100,Beusselstr.,19651178_west,['KBS 100'],
Jungfernheide,s-bahn,KBS 100,19641238_west,"52.53035,13.299433333333",Q110977325,,,,,,,1964569.0
Westend,s-bahn,KBS 100,19641239_west,"52.5181,13.2844",,52.5181,13.2844,100,Westend,19651180_west,['KBS 100'],
