Column,stop_name,type,in_lines,location,identifier,coordinate location,previous_in_lines,stop_description
1374,Parchimer Allee,bus,"{'25', '41'}","52.44548755226662, 13.455038476884289",,,['41']+ {'41'}+ {'41'},
1375,Parchimer Allee,u-bahn,{'7'},"52.444722222222,13.449444444444",Q571855,,['7']+ {'7'}+ {'7'},
1376,Pariser Strasse,bus,{'60'},"52.49702022862696, 13.324198033983965",,,,
1377,Parkfriedhof Neukölln,bus,{'91'},"52.428374721547385, 13.435001496921483",,,{'91'}+ {'91'},
1378,Parkstrasse,strassenbahn,{'120'},"52.60669062589624, 13.433389593695003",,,,
1379,Pasedagplatz,bus,{'109'},"52.55967538566088, 13.46027955028295",,,,
1380,Pasedagplatz,strassenbahn,{'113'},"52.5594027,13.4609594",Q65954665,"52.5594027,13.4609594",,
1381,Paster-Behrens-Strasse,bus,{'25'},"52.445825165817276, 13.44594382145147",,,,
1382,Paul-Gerhardt-Ring,bus,{'5'},"52.54872864148556, 13.158960876104299",,,,
1383,Paul-Schmidt-Strasse,bus,"{'96', '84'}","52.45281873057585, 13.371906018758203",,,,
1385,Paulsborner Strasse,bus,{'74'},"52.498903240561, 13.30730129569546",,,,
1386,Paulsternstrasse,bus,{'10'},"52.53816560889896, 13.247740641369708",,,"['99']+ ['55', '13', '10']+ {'99', '10', '55', '72'}+ {'13'}+ {'55', '99', '10', '72'}+ {'13'}",
1387,Paulsternstrasse,u-bahn,{'7'},"52.538055555556,13.247777777778",Q570943,"52.538055555556,13.247777777778",,
1388,Pekrunstrasse,bus,{'115'},"52.53736728084029, 13.559858167640147",,,{'95'},
1389,Pekrunstrasse,strassenbahn,{'110'},"52.5373648121283, 13.559856626021585",,,,
1390,Persantestrasse,bus,{'10'},"52.41453339813678, 13.279283357147586",,,,
1391,Persantestrasse,bus,{'84'},"52.41487153540823, 13.279852454191609",,,,
