line_name,Stops,Frequency_7-30,Length (time),type,east-west,year
A24,Wiebestrasse - GotzkowskyStrasse - StromStrasse - Rathenower Strasse - Alt-Moabit - John-Foster-Dulles-Allee - Tiergartenstrasse - Lützowplatz - Potsdamer Strasse - Hafenplatz - Askanischer Platz - U-Bhf. Hallesches Tor - Gneisenaustrasse - Columbiadamm - Tempelhofer Damm - Flughafen,5,43,bus,West,1961
A25,Unionplatz - Gotzkowskybrücke - Hansaplatz - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Pariser Strasse Ecke Bundesallee - Berliner Strasse Ecke Bundesallee - Bundesplatz - Kaisereiche - Grazer Platz - Attilaplatz - Tempelhofer Damm Ecke Friedrich-Karl-Strasse - Gottlieb-Dunkel-Strasse Ecke Tempelhofer Weg - Tempelhofer Weg Ecke Britzer Damm - Grüner Weg - Gutschmidtstrasse,10,63,bus,West,1961
A26,VEB Bautransporte - Bhf. Schöneweide,15,5,bus,Ost,1961
A27,"S-Bhf. Kaulsdorf, Planitzstrasse - Chemnitzer Strasse Ecke Alt-Kaulsdorf - Ulmenstrasse - Wongrowitzer Strasse - S-Bhf. Köpenick - Bahnhofstrasse Ecke Lindenstrasse - Köpenick, Krankenhaus - Müggelseeperle - Müggelheim",10,43,bus,Ost,1961
A28,Loewenhardtdamm - Dudenstrasse - Kreuzbergstrasse - Yorckstrasse - Mehringdamm - Zossener Strasse - Südstern - Urban-Krankenhause - U-Bhf. Prinzenstrasse - U-Bhf Kottbusser Tor - Oranienstrasse - Waldemarstrasse - Mariannenplatz - Köpenickerstrasse Ecke Manteuffelstrasse - U-Bhf. Schlesisches Tor - Heckmannufer,7.5,29,bus,West,1961
A29,Roseneck - Berkaer Strasse - BSC-Sportplatz - Bismarckplatz - Bhf. Halensee - Joachim-Friedrich-Strasse - Wilmersdorfer Strasse - Olivaer Platz - Uhlandstrasse - Joachimstaler Strasse - Breitscheidplatz - Wittenbergplatz - Lutherstrasse - Lützowstrasse - Potsdamer Strasse - Askanischer Platz,10,32,bus,West,1961
A31,Machandelweg - U-Bhf. Ruhleben - Friedhof Ruhleben - Kinderheim Ruhleben - Teltower Strasse - Grenadierstrasse - Stresowplatz - Breite Strasse - Rathaus Spandau - Brunsb tteler Damm - Nauener Strasse - Egelpfuhlstrasse - Magistratsweg - Spandauer Strasse - Hackbuschstrasse - Heidebergplan,12,27,bus,West,1961
A32,"Breitenbachplatz - GritznerStrasse - SchlossStrasse - Rathaus Steglitz - SedanStrasse - StindeStrasse - LeonorenStrasse - Lankwitz, Kirche - Marienfelder Strasse - Marchandstrasse - Marienfelder Allee - Stegerwaldstrasse - Bhf. Marienfelde",5,28,bus,West,1961
A33,Bhf. Steglitz - Breite Strasse - Klingsorstrasse - Sedanstrasse - Bismarckstrasse - Halskestrasse - Bhf. Südende - Bhf. Mariendorf - Kurfürstenstrasse - Kaiserstrasse/Ringstrasse - Rathaus Mariendorf - Kaiserstrasse,10,15,bus,West,1961
A34,"Spandau, Friedhof - Askanierring - Hafenplatz - Rathaus Spandau - Wilhelmstrasse Ecke Pichelsdorferstrasse - Adamstrasse - Heerstrasse - Weinmeisterhornweg - Ortsgrenze Gatow - Gatow, Kirche - Großglienicker Weg - Krankenhaus Hohengatow - Krankenhaus Havelhöhe - Alt-Kladow - Schwiezerhaus - Gutshof",30,45,bus,West,1961
A35,"Germersheimer Platz - Askanierring - Rathaus Spandau - Wilhelmstrasse Ecke Pichelsdorferstrasse - Adamstrasse - Heerstrasse - Gatower Strasse - Weinmeisterhornweg - Ortsgrenze Gatow - Gatow, Kirche - Großglienicker Weg - Krankenhaus Hohengatow - Krankenhaus Havelh he - Alt-Kladow - Krampnitzer Weg - Hottengrund",30,38,bus,West,1961
A38,"Waltersdorf - Bohnsdorf, Waldstrasse - Eichbuschplatz - Joachimstrasse - S-Bhf. Grünau",20,18,bus,Ost,1961
A39,"Wartenberg, Siedlung - Wartenberg, Dorfstrasse - Falkenberger Chaussee - Kolonie ""Land in Sonne"" - Hohenschönhausen, Falkenberger Strasse",16,13,bus,Ost,1961
A4,Brixplatz - Reichskanzlerplatz - Messedamm - Bhf. Halensee - Hochmeisterplatz - U-Bhf. Fehrbelliner Platz - Bundesallee Ecke Badensche Strasse - Rathaus Schöneberg - Innsbrucker Platz - Dominicusstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Flughafen - Friesenstrasse - U-Bhf. Boddinstrasse - Erkstrasse Ecke Sonnenallee - Harzer Strasse,10,56,bus,West,1961
