,line_id,year,line_name,type,start_stop,Length (time),Length (km),east_west,Frequency
111,1956112,1956,A7,bus,"Glienicke, Kirche<> U-Bhf. Vinetastrasse",43,,Ost,20
112,1956113,1956,A8,bus,Waldesruh<> U-Bhf. Friedrichsfelde,35,12.0,Ost,12
113,1956114,1956,A82P,bus,Kinderheim<> Markgrafendamm,5,,Ost,20
114,1956115,1956,A9,bus,"Scharnhorststrasse, Volkspolizeikrankenhaus<> Arnsalder Platz, Dimitroffstrasse",26,7.1,Ost,12
115,1956116,1956,AL,bus,"Lindenberg<> Malchow, Dorfstrasse",8,,Ost,80
116,1956117,1956,AN,bus,"Bhf. Hohen Neuendorf<> Glienicke, Elsässerstrasse",28,,Ost,20
117,1956118,1956,B I,u-bahn,Warschauer Brücke<> Uhlandstrasse,23,,Ost/West,10
118,1956119,1956,B II,u-bahn,Nollendorfplatz<> Innsbrucker Platz (Hauptstr.),6,,Ost/West,5
119,1956120,1956,C I,u-bahn,Kurt-Schumacher-Platz<> Grenzallee,34,,West,5
120,1956121,1956,C II,u-bahn,Mehringdamm<> Tempelhof (Südring),5,,West,5
121,1956122,1956,D,u-bahn,Gesundbrunnen<> Leinestr.,23,,West,5
122,1956123,1956,E,u-bahn,Alexanderplatz<> Friedrichsfelde (Tierpark),17,,Ost,5
123,1956124,1956,KBS 100,s-bahn,Gesundbrunnen<> Gesundbrunnen,0,,,0
124,1956125,1956,KBS 100a,s-bahn,Westend<> Grünau,0,,,0
125,1956126,1956,KBS 100b,s-bahn,Blankenburg<> Warschauer Str.,0,,,0
126,1956127,1956,KBS 100c,s-bahn,Gesundbrunnen<> Warschauer Str.,0,,,0
127,1956128,1956,KBS 100d,s-bahn,Jungfernheide<> Gartenfeld,0,,,0
128,1956129,1956,KBS 101,s-bahn,Staaken<> Strausberg,0,,,0
129,1956130,1956,KBS 101a,s-bahn,Strausberg<> Strausberg Nord,0,,,0
130,1956131,1956,KBS 102,s-bahn,Potsdam<> Erkner,0,,,0
131,1956132,1956,KBS 103,s-bahn,Falkensee<> Königs Wusterhausen,0,,,0
132,1956133,1956,KBS 103a,s-bahn,Spandau West<> Spindlersfeld,0,,,0
133,1956134,1956,KBS 104,s-bahn,Oranienburg<> Wannsee,0,,,0
134,1956135,1956,KBS 104a,s-bahn,Zehlendorf<> Düppel-Kleinmachnow,0,,,0
135,1956136,1956,KBS 104b,s-bahn,Wannsee<> Stahnsdorf,0,,,0
136,1956137,1956,KBS 105,s-bahn,Velten (Mark)<> Rangsdorf,0,,,0
137,1956138,1956,KBS 106,s-bahn,Bernau (b Bln)<> Teltow,0,,,0
138,1956139,1956,O30,bus,Kosterstrasse<> Klosterstrasse,72,18.9,Ost,20
139,1956140,1956,O37,bus,Bürknersfelde<> Bhf. Lichtenberg,0,10.0,Ost,0
140,1956141,1956,O40,bus,Ostbahnhof<> Robert-Koch-Platz,23,6.3,Ost,12
141,1956142,1956,O41,bus,Bürknersfelde<> Dimitroffstrasse,18,6.2,Ost,10
142,1956143,1956,Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),Fähre,Kladow<> Wannsee,20,,West,60
143,1956144,1956,Wendenschloß<>Grünau,Fähre,Wendenschloß<> Grünau,0,,Ost,20
