Column,stop_name,type,in_lines,location,identifier
739,"Nordend, Schillerstrasse",bus,['A7'],"52.590233030676416, 13.40273305362098",
740,Nordendstrasse,strassenbahn,['22'],"52.588534,13.3882952",Q65428345
741,Nöldnerplatz,s-bahn,['KBS 101'],"52.5038,13.4853",Q4892447
742,Oberlandstrasse Ecke Germaniastrasse,strassenbahn,['6'],"52.46347941663018, 13.402097341937894",
743,Oberschöneweide Ecke Wilhelminenhofstrasse,strassenbahn,['69'],"52.46244038154977, 13.514131377086349",
744,"Oberschöneweide, Parkstrasse",strassenbahn,['82'],"52.45762107903834, 13.538789788199837",
745,Oberspree,s-bahn,['KBS 103a'],"52.4525,13.5382",Q15192700
746,Oberspree,strassenbahn,['92'],"52.45208939834283, 13.532927876229891",
747,Oderberger Strasse,strassenbahn,"['13', '4']","52.54058395613876, 13.404619006480333",
748,Oderbruchstrasse,bus,['O41'],"52.52965617389457, 13.461022889581898",
749,Olympia-Stadion,u-bahn,['A I'],"52.517222222222,13.25",Q656441
750,Onkel Toms Hütte,u-bahn,['A II'],"52.450277777778,13.253333333333",Q389214
751,Oranienburg,s-bahn,['KBS 104'],"52.7536,13.2496",Q2341669
752,Oranienburger Str.,s-bahn,"['KBS 106', 'KBS 105', 'KBS 104']","52.525,13.3929",Q480249
753,Oranienburger Strasse Ecke Eichborndamm,bus,['A21'],"52.59549417383574, 13.332977441612183",
754,Oranienburger Tor,bus,"['A9', 'O40']","52.52716314203455, 13.38710905184874",
755,Oranienburger Tor,strassenbahn,"['46', '11', '70', '69', '1']","52.5256031,13.3872745",Q65095375
756,Oranienburger Tor,u-bahn,['C I'],"52.524886111111,13.387477777778",Q571485
757,Oranienburgerstrasse Ecke Alt-Wittenau,bus,"['A12', 'A12S', 'A14']","52.589697010821375, 13.334214120290952",
758,Oraniendamm Ecke Waidmannslusterdamm,bus,['A20'],"52.60786538735034, 13.323762781054324",
759,"Oranienplatz, Dresdenerstrasse",strassenbahn,['94'],"52.50311696005453, 13.415352054334681",
760,Orankestrasse,strassenbahn,['64'],"52.544048109588445, 13.492293861074563",
761,Oskar-Helene-Heim,u-bahn,['A II'],"52.450277777778,13.269722222222",Q681336
762,Oskarplatz,strassenbahn,"['3', '35']","52.5570174,13.3659987",Q65767112
763,Osloer Strasse Ecke Prinzenallee,strassenbahn,['23'],"52.5559072,13.3837614",Q65807451
764,Osloerstrasse Ecke Kolonie-Drontheim,strassenbahn,['36'],"52.556467046084194, 13.377071802941376",
765,Osloerstrasse Ecke Prinzenallee,strassenbahn,['24'],"52.5559072,13.3837614",Q65807451
766,Osloerstrasse Ecke Schwedenstrasse,bus,['A14'],"52.556656015402865, 13.373862995391455",
