,stop_id,stop_name,type,in_lines
70,71,Bernauer Strasse Ecke Wolliner Strasse,bus,"{'A64x', 'A71s'}"
71,72,Bernauer Strasse Ecke Wolliner Strasse,strassenbahn,{'2x'}
72,73,Bernauer Strasse/Brunnenstrasse,bus,{'A71s'}
73,74,Betriebsbahnhof Schöneweide,s-bahn,{'KBS 100a'}
74,75,Beusselstr.,s-bahn,{'KBS 100'}
75,76,Bezirksamt,bus,{'A63x'}
76,77,Bhf. Beusselstrasse,strassenbahn,{'3x'}
77,78,Bhf. Botanischer Garten,strassenbahn,"{'77s', '78s'}"
78,79,Bhf. Buckower Chaussee,bus,{'A52s'}
79,80,Bhf. Eichbornstrasse,bus,"{'A15', 'A21'}"
80,81,Bhf. Frohnau,bus,"{'A15', 'A12'}"
81,82,Bhf. Gesundbrunnen,bus,"{'A61s', 'A71s'}"
82,83,Bhf. Grunewald,bus,{'A17'}
83,84,Bhf. Halensee,bus,"{'A10', 'A29s', 'A4x', 'A19', 'A69x'}"
84,85,Bhf. Heerstrasse,strassenbahn,"{'76x', '75s'}"
85,86,Bhf. Heiligensee,bus,{'A14'}
86,87,Bhf. Hermannstrasse,strassenbahn,{'27x'}
87,88,Bhf. Hermsdorf,bus,{'A15'}
88,89,Bhf. Hohenzollerndamm,bus,"{'A65x', 'A50s', 'AS3s', 'A21'}"
89,90,Bhf. Jungfernheide,bus,"{'A62x', 'A65x', 'A21'}"
90,91,Bhf. Jungfernheide,strassenbahn,{'55x'}
91,92,Bhf. Lichtenrade,bus,"{'A76x', 'AS2s'}"
92,93,Bhf. Lichterfelde-Ost,bus,{'A11'}
93,94,Bhf. Lichterfelde-Ost,strassenbahn,"{'96x', '73s'}"
94,95,Bhf. Lichterfelde-West,bus,{'A11'}
95,96,Bhf. Lichterfelde-West,strassenbahn,"{'77s', '78s'}"
96,97,Bhf. Lindenthaler Allee,bus,"{'A53x', 'A3'}"
97,98,Bhf. Mariendorf,bus,{'A33s'}
98,99,Bhf. Mariendorf,strassenbahn,{'96x'}
99,100,Bhf. Marienfelde,bus,"{'A77x', 'A32s'}"
100,101,Bhf. Marienfelde,strassenbahn,{'15x'}
101,102,Bhf. Neukölln,bus,{'A65x'}
102,103,Bhf. Nikolassee,bus,{'A3'}
103,104,Bhf. Papestrasse,bus,"{'A74x', 'A73x'}"
104,105,Bhf. Papestrasse,strassenbahn,{'60x'}
105,106,Bhf. PutlitzStrasse,bus,{'A16'}
106,107,Bhf. Schulzendorf,bus,{'A14'}
107,108,Bhf. Schöneberg,bus,"{'A65x', 'A73x'}"
108,109,Bhf. Sonnenallee,bus,"{'A65x', 'A67s'}"
109,110,Bhf. Sonnenallee,strassenbahn,"{'15x', '95x'}"
110,111,Bhf. Spandau,strassenbahn,"{'53x', '54x'}"
111,112,Bhf. Spandau-West,bus,"{'A5s', 'A63x'}"
112,113,Bhf. Steglitz,bus,{'A33s'}
113,114,Bhf. Südende,bus,{'A33s'}
114,115,Bhf. Teltowkanal,strassenbahn,{'26x'}
115,116,Bhf. Tempelhof,bus,{'A68x'}
116,117,Bhf. Waidmannslust,bus,{'A20'}
117,118,Bhf. Wannsee,bus,"{'A6s', 'A51s', 'A3'}"
118,119,Bhf. Wedding,bus,{'A70x'}
119,120,Bhf. Westend,bus,{'A65x'}
120,121,Bhf. Wilhelmsruh,bus,{'A71s'}
121,122,Bhf. Wittenau,bus,{'A15'}
122,123,Bhf. Wollankstrasse,bus,{'A70x'}
123,124,Bhf. Yorckstrasse,bus,{'A19'}
124,125,Bhf. Zehlendorf,bus,"{'A53x', 'A1s'}"
125,126,Bhf. Zoo,bus,"{'A73x', 'A25x', 'AS2s', 'A62x', 'AS1s', 'AS3s', 'A2'}"
126,127,Bhf. Zoo,strassenbahn,"{'55x', '2x', '77s', '78s'}"
127,128,"Bhf. Zoo, Kantstrasse",strassenbahn,"{'76x', '75s'}"
128,129,Bismarckplatz,bus,{'A29s'}
129,130,Bismarckstrasse,bus,{'A33s'}
130,131,Bleibtreustrasse Ecke Kurfürstendamm,bus,{'A69x'}
131,132,Blohmstrasse Ecke Wünsdorfer Strasse,bus,{'A76x'}
132,133,Boddinstr.,u-bahn,{'D'}
133,134,Bonhoeffer-Heim,bus,{'A62x'}
134,135,Borsigwalder Weg,bus,{'A15'}
135,136,Borsigwerke,u-bahn,{'C I'}
136,137,Bosestrasse,bus,{'A74x'}
137,138,Botanischer Garten,bus,"{'A1s', 'A68x'}"
138,139,Botanischer Garten,s-bahn,{'KBS 104'}
139,140,Brabanter Platz,bus,{'A60s'}
140,141,Breite Strasse,bus,"{'A5s', 'A31s', 'A33s', 'A68x'}"
141,142,Breitenbachplatz,bus,"{'A16', 'A1s', 'A32s'}"
142,143,Breitenbachplatz,u-bahn,"{'A II', 'B II'}"
143,144,Breitscheidplatz,bus,"{'A29s', 'A19', 'A60s'}"
144,145,Bristolstrasse,bus,{'A12'}
145,146,Britzer Damm Ecke Gradestrasse,bus,{'A73x'}
146,147,Britzer Damm Ecke Gradestrasse,strassenbahn,{'27x'}
147,148,Brixplatz,bus,{'A4x'}
148,149,Brunsb tteler Damm,bus,{'A31s'}
149,150,Buckower Ch.,s-bahn,{'KBS 105'}
150,151,Buckower Chaussee,bus,{'AS2s'}
151,152,Buckower Chaussee Ecke Lichtenrader Damm,bus,{'A76x'}
152,153,Buckower Damm,bus,{'A52s'}
153,154,Buckower Friedhof,bus,{'A52s'}
154,155,Bundesallee,bus,"{'A48s', 'A74x', 'A17'}"
155,156,Bundesallee,strassenbahn,"{'60x', '77s', '74s', '78s'}"
156,157,Bundesallee Ecke Badensche Strasse,bus,{'A4x'}
157,158,Bundesallee Ecke Rheinstrasse,strassenbahn,{'73s'}
158,159,Bundesplatz,bus,"{'A65x', 'A16', 'A25x', 'AS2s', 'A2'}"
159,160,Bundesplatz,strassenbahn,"{'77s', '78s'}"
160,161,Burgemeister Strasse Ecke Tempelhofer Damm,bus,"{'A76x', 'A77x'}"
161,162,Buschkrug,strassenbahn,{'47x'}
