,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
149,Thielplatz,u-bahn,['2'],"52.451111111111,13.282222222222",Q571331,"['A2']+ ['A II']+ ['A II']+ B II,A II+ A II,B II+ A II+ ['2']+ ['2']+ ['2']+ 2+ 2+ 2",nan+ nan+ nan+ Freie Universität (Thielplatz) metro station+ Freie Universität (Thielplatz) metro station+ Freie Universität (Thielplatz) metro station+ nan+ nan+ nan+ nan+ nan+ nan
150,Tiergarten,s-bahn,"['KBS 156', 'KBS 157']","52.5144,13.3365",Q572112,"['KBS 101', 'KBS 100c']+ ['KBS 101', 'KBS 103', 'KBS 102']+ ['KBS 102', 'KBS 101', 'KBS 103']+ KBS 103,KBS 102,KBS 101+ KBS 101,KBS 102+ KBS 100h,KBS 100g+ ['KBS 100g', 'KBS 100h']+ ['KBS 157', 'KBS 156']+ ['KBS 156']+ 156+ 3+ 3",nan+ nan+ nan+ Berlin-Tiergarten station+ Berlin-Tiergarten station+ Berlin-Tiergarten station+ nan+ nan+ nan+ nan+ nan+ nan
151,Turmstr.,u-bahn,['9'],"52.52585,13.341352777778",Q571400,['9']+ ['9'],nan+ nan
152,Uhlandstr.,u-bahn,['3'],"52.5025,13.325555555556",Q568224,['3']+ ['3'],nan+ nan
153,Ullsteinstr.,u-bahn,['6'],"52.453775,13.384302777778",Q637870,['6']+ ['6'],nan+ nan
154,Viktoria-Luise-Platz,u-bahn,['4'],"52.496161111111,13.342702777778",Q178685,['B1']+ ['B I']+ ['B II']+ B III+ B III+ ['4']+ ['4']+ ['4']+ 4+ 4+ 4,nan+ nan+ nan+ Viktoria-Luise-Platz+ Viktoria-Luise-Platz+ nan+ nan+ nan+ nan+ nan+ nan
155,Voltastr.,u-bahn,['8'],"52.542093,13.393022",Q663308,['D']+ ['D']+ D+ D+ D+ ['8']+ ['8'],nan+ nan+ Voltastraße+ Voltastraße+ Voltastraße+ nan+ nan
156,Waidmannslust,s-bahn,['KBS 154'],"52.6064,13.321",Q800492,['KBS 104']+ ['KBS 104']+ ['KBS 104']+ KBS 104+ KBS 106+ KBS 100e+ ['KBS 100e']+ ['KBS 154']+ ['KBS 152']+ 152+ 2,nan+ nan+ nan+ Berlin-Waidmannslust station+ Berlin-Waidmannslust station+ Berlin-Waidmannslust station+ nan+ nan+ nan+ nan+ nan
157,Walther-Schreiber-Platz,u-bahn,['9'],"52.465,13.328333333333",Q638584,['9']+ ['9'],nan+ nan
158,Wannsee,s-bahn,"['KBS 156', 'KBS 154']","52.4214,13.1792",Q111325896,"['KBS 101', 'KBS 104a']+ ['KBS 104', 'KBS 102']+ ['KBS 104b', 'KBS 102', 'KBS 104']+ KBS 104b,KBS 102,KBS 104+ KBS 104,KBS 102+ KBS 100h,KBS 100e+ ['KBS 100h', 'KBS 100e']+ ['KBS 154', 'KBS 156']+ ['KBS 156']+ 156+ 3+ 3,1",nan+ nan+ nan+ S-Bahnhof Berlin Wannsee+ S-Bahnhof Berlin Wannsee+ S-Bahnhof Berlin Wannsee+ nan+ nan+ nan+ nan+ nan+ nan
159,Wedding,s-bahn,['KBS 150'],"52.5425,13.3661",Q638604,"['KBS 100']+ ['KBS 100']+ ['KBS 100', 'KBS 103a']+ KBS 100,KBS 103a,KBS 100c+ KBS 100+ KBS 100a,KBS 100+ ['KBS 100a', 'KBS 100']+ ['KBS 150', 'KBS 158']",nan+ nan+ nan+ Berlin-Wedding station+ Berlin-Wedding station+ Berlin-Wedding station+ nan+ nan
160,Wernerwerk,s-bahn,['KBS 159'],"52.534863,13.27599",Q96077001,"['KBS 100b']+ ['KBS 100b']+ ['KBS 100d']+ KBS 100d,KBS 100c+ KBS 100c+ KBS 100b+ ['KBS 100b']+ ['KBS 159']",nan+ nan+ nan+ Berlin Wernerwerk station+ Berlin Wernerwerk station+ Berlin Wernerwerk station+ nan+ nan
161,Westend,s-bahn,['KBS 150'],"52.5181,13.2844",Q323214,"['KBS 100']+ ['KBS 100']+ ['KBS 100', 'KBS 100a']+ KBS 100,KBS 100c+ KBS 100+ KBS 100+ ['KBS 100']+ ['KBS 150']",nan+ nan+ nan+ Berlin-Westend station+ Berlin-Westend station+ Berlin-Westend station+ nan+ nan
162,Westkreuz,s-bahn,"['KBS 156', 'KBS 157', 'KBS 150']","52.5011,13.2839",Q678125,"['KBS 101', 'KBS 100', 'KBS 100c']+ ['KBS 102', 'KBS 101', 'KBS 103', 'KBS 100']+ ['KBS 100', 'KBS 102', 'KBS 101', 'KBS 100a', 'KBS 103']+ KBS 100c,KBS 103,KBS 101,KBS 100,KBS 102+ KBS 101,KBS 102,KBS 100+ KBS 100h,KBS 100,KBS 100g+ ['KBS 100g', 'KBS 100h', 'KBS 100']+ ['KBS 157', 'KBS 150', 'KBS 156']+ ['KBS 156']+ 156+ 3+ 3",nan+ nan+ nan+ Berlin Westkreuz station+ Berlin Westkreuz station+ Berlin Westkreuz station+ nan+ nan+ nan+ nan+ nan+ nan
163,Westpfahlweg,u-bahn,['6'],"52.446,13.386",Q554481,['6']+ ['6']+ ['6'],nan+ nan+ nan
