,stop_id,stop_name,type,location,in_lines,identifier,stop_description
1001,19641001,Rennbahnstrasse Ecke Gustav-Adolf-Strasse,bus,"52.56218648050474, 13.454267038723398",A56,nan,Rennbahnstrasse Ecke Gustav-Adolf-Strasse
1002,19641002,Reuchlinstrasse,bus,"52.5278079827492, 13.324842775070394",A70,nan,Reuchlinstrasse Ecke Huttenstrasse
1003,19641003,Reuterstrasse,bus,"52.48654240757135, 13.428977740572138",A67,nan,Reuterstrasse Ecke Sonnenallee
1004,19641004,Richard-Wagner-Platz,bus,"52.517490990443804, 13.306397097578404","A62,A87,A86,AS1s",nan,Richard-Wagner-Platz
1005,19641005,Richard-Wagner-Platz,strassenbahn,"52.517570616857, 13.306248118529135","54,53,55",nan,Richard-Wagner-Platz
1006,19641006,Richard-Wagner-Platz,u-bahn,"52.5175,13.306388888889",A III,Q662201,Richard-Wagner-Platz metro station
1007,19641007,"Richard-Wagner-Platz, Wintersteinstrasse",bus,"52.51740014042693, 13.306570529730063",A87,nan,nan
1008,19641008,Richardstrasse,strassenbahn,"52.47097391592754, 13.446301038467002",15,nan,Richardstrasse
1009,19641009,Richtershorn,strassenbahn,"52.40105,13.6248473",86,Q66481215,Richtershorn
1010,19641010,Ridbacher Strasse,bus,"52.527457204488485, 13.606447755554132",A49,nan,Ridbacher Strasse Ecke Grottkauer Strasse
1011,19641011,Ringstrasse,bus,"52.439772810020266, 13.300175076283422",A11,nan,Ringstrasse Ecke Drakestrasse
1012,19641012,Ringstrasse Ecke Attilastrasse,strassenbahn,"52.44731185015507, 13.362092248181296",96,nan,nan
1013,19641013,Ringstrasse Ecke Pestalozziplatz,bus,"52.434112245947, 13.287347868170125",A84,nan,nan
1014,19641014,Rittberg-Krankenhaus,bus,"52.42987951650218, 13.288961460110901",A85,nan,nan
1015,19641015,Ritterlandweg,bus,"52.56036399935592, 13.36907949823327","A71,A79",nan,Ritterlandweg
1016,19641016,Robert-Koch-Platz,bus,"52.527570508835595, 13.37877230286134","A57,O40",nan,Robert-Koch-Platz
1017,19641017,Roederplatz,bus,"52.52671388514014, 13.479662353432392",O30,nan,Roederplatz
1018,19641018,Roederplatz,strassenbahn,"52.5266001,13.479068","3,69,69E",Q65685373,nan
1019,19641019,Rohdestrasse Ecke Germaniastrasse,bus,"52.4620458336563, 13.404444184357315",A73,nan,nan
1020,19641020,Roseneck,bus,"52.47580089902253, 13.282411270445099","A17,AS3s,A50,A29,A19",nan,Roseneck
1021,19641021,"Roseneck, Hundekehl",bus,"52.47640250997692, 13.281611267179592",A60,nan,"Roseneck, Hundekehl"
1022,19641022,"Rosenthal, Hauptstrasse",strassenbahn,"52.5970063,13.3763916",22,Q65364985,nan
1023,19641023,Rosenthaler Platz,bus,"52.5296729549826, 13.401428926082492",O40,nan,Rosenthaler Platz
1024,19641024,Rosenthaler Platz,strassenbahn,"52.5301769,13.4016121","49,1,11,22",Q65093945,U Rosenthaler Platz+ nan
1025,19641025,Rosenthaler Strasse,strassenbahn,"52.59633,13.432876",49,Q66192394,nan
1026,19641026,Rudower Strasse,bus,"52.43428237477314, 13.469124205215895",A52,nan,Rudower Strasse Ecke Johannisthaler Chaussee
1027,19641027,Ruhleben,u-bahn,"52.525555555556,13.241388888889",A I,Q656401,Ruhleben station
1028,19641028,Rummelsburg,s-bahn,"52.501244,13.478545",KBS 102,Q15107132,Berlin-Rummelsburg railway station
1029,19641029,Ruppiner Chaussee,bus,"52.59792202028554, 13.275075196373528",A13,nan,Ruppiner Chaussee Ecke Heiligensee
1030,19641030,Ruppiner Chaussee & Schulzendorferstrasse,bus,"52.614439200663185, 13.244906142382904",A14,nan,nan
1031,19641031,Ruppiner Chaussee Ecke Hennigsdorfer Strasse,bus,"52.62647541728233, 13.227541592099726",A14,nan,nan
1032,19641032,Röntgental,s-bahn,"52.6487,13.5136",KBS 106,Q801386,Röntgental station
1033,19641033,"Rüdersdorf, Heinitzstrasse",strassenbahn,"52.47300367314545, 13.776547132457198","S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",nan,nan
1034,19641034,"Rüdersdorf, Karl-Marx-Platz",strassenbahn,"52.466474025436895, 13.805127733329565","S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",nan,nan
