stop_id,stop_name,type,in_lines,location,identifier,stop_id_1961,previous_in_lines,stop_description
168,Blumenstrasse,strassenbahn,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),"52.44907887643158, 13.760106955990562",,,,
169,Boddinstr.,u-bahn,D,"52.48,13.425277777778",Q819495,195,D,Boddinstraße
170,"Bohnsdorf, Kirche",bus,A36,"52.39948771402893, 13.555574431978044",nan,196,AD/36,"Bohnsdorf, Kirche"
171,"Bohnsdorf, Waldstrasse",bus,"AD,A38","52.389397192754984, 13.570666562153916",nan,197,A38,"Bohnsdorf, Waldstrasse"
172,Bonhoeffer-Heim,bus,A62,"52.57940412664757, 13.33327468081513",nan,198,A62,nan
173,"Bonsdorf, Waldstrasse",bus,A38,"52.389397192754984, 13.570666562153916",,,,
174,Borgsdorf,s-bahn,KBS 104,"52.7155,13.2764",Q4093486,199,KBS 104,Borgsdorf station
175,Bornholmer Strasse,strassenbahn,49,"52.5537705,13.4138898",,,,
176,Borsigwalder Weg,bus,A15,"52.58482847787268, 13.29793542584195",nan,201,A15,Borsigwalder Weg Ecke Conradstrasse
177,Borsigwerke,u-bahn,C I,"52.5819,13.2907",Q525185,202,C I,Borsigwerke
178,Borussenstrasse Ecke Kronprizessinnen Weg,bus,A3,"52.42987973140939, 13.185060134093185",,,,
179,Botanischer Garten,bus,"A1,A68","52.458598799471524, 13.303436055459807",nan,204,"A1,A68","Botanischer Garten, Ecke Königin-Luise-Strasse"
180,Botanischer Garten,s-bahn,KBS 100e,"52.44806,13.30722",Q800498,205,KBS 104,Berlin Botanischer Garten station
181,Boxhagenerstrasse Ecke Holteistrasse,bus,O30,"52.508613193309614, 13.466277189422302",nan,206,O30,nan
182,Brabanter Platz,bus,A60,"52.48200661448961, 13.316219175470072",nan,207,A60,Brabanter Platz
183,Brandenburgischestrasse Ecke Blissestrasse,bus,A89,"52.48649713854125, 13.320383969408674",,,,
184,Breite Strasse Ecke Charlottenstrasse ; Breite Strasse Ecke Albrechtstrasse,bus,"A5,A31 ; A68","52.53613613360638, 13.20450629947795 ; 52.45435057367761, 13.328307509759025",nan,209,"A5,A31 ; A68,A33",Breite Strasse Ecke Charlottenstrasse ; Breite Strasse Ecke Albrechtstrasse
185,Breitenbachplatz,bus,"A1,A16,A32","52.467219717443385, 13.309473490660878",nan,210,"A1,A32,A16",Breitenbachplatz
186,Breitenbachplatz,u-bahn,A II,"52.466388888889,13.308055555556",Q571339,211,"A II,B II",Breitenbachplatz metro station
