,stop_id,stop_name,type,location,in_lines,identifier
1748,19841748,U-Bhf. Zwickauer Damm,bus,"52.42316772174534, 13.484176739454373",{'57'},nan
1749,19841749,U-Bhf./S-Bhf. Gesundbrunnen,bus,"52.54861944950301, 13.387947488953557","{'64', '61'}",nan
1750,19841750,U-Bhf./S-Bhf. Yorckstrasse,bus,"52.49297747613118, 13.369530914840707",{'19'},nan
1751,19841751,U-Bhf./S-Bhf. Zoologischer Garten,bus,"52.50655562209984, 13.331571936951352",{'9'},nan
1752,19841752,Uckermarkstrasse,bus,"52.52145144349922, 13.596724604247981",{'60'},nan
1753,19841753,Uhlandstrasse,bus,"52.49368128063674, 13.323591179345778","{'50', '60'}",nan
1754,19841754,Uhlandstrasse,bus,"52.50561958786858, 13.325760810203061","{'92', '94'}",nan
1755,19841755,Uhlandstrasse,bus,"52.50564654551069, 13.325741169438086",{'69'},nan
1756,19841756,Uhlandstrasse,strassenbahn,"52.58613246790561, 13.389684917825711",{'22'},nan
1757,19841757,Uhlandstrasse,u-bahn,"52.5025,13.325555555556",{'3'},Q568224
1758,19841758,Ullsteinstrasse,u-bahn,"52.453775,13.384302777778",{'6'},Q637870
1759,19841759,Universitätsstrasse,bus,"52.51728971954308, 13.39265161791291",{'57/E'},nan
1760,19841760,Uranusweg,bus,"52.56672979418403, 13.317113460331663",{'61'},nan
1761,19841761,Urban-Krankenhaus,bus,"52.49342464841258, 13.40623087024345",{'28'},nan
1762,19841762,Urbanstrasse,bus,"52.49197792621568, 13.41266622804356",{'28'},nan
1763,19841763,VEB Berlin-Chemie,bus,"52.43374828113537, 13.556312033894333",{'23'},nan
1764,19841764,VEB Berlin-Chemie,strassenbahn,"52.42497560376408, 13.574846834399601",{'86'},nan
1765,19841765,VEB Gummiwerke,strassenbahn,"52.49294832547379, 13.490882014435401","{'13', '21'}",nan
1766,19841766,VEB Kombinat Auto Trans,bus,"52.442947642563354, 13.519478957220752","{'62', '67'}",nan
1767,19841767,VEB Kühlbetrieb,strassenbahn,"52.43234955047839, 13.5713259913008",{'86'},nan
1768,19841768,VEB Yachtwerft,strassenbahn,"52.434329403493905, 13.571443963074454","{'85', '83'}",nan
1769,19841769,Verwaltungsgeb./Luftfracht,bus,"52.549474329146136, 13.2958149065511",{'9'},nan
1770,19841770,Verwaltungsgebäude/Luftfracht,bus,"52.549474329146136, 13.2958149065511",{'8'},nan
1771,19841771,Veteranenstrasse,strassenbahn,"52.5324542,13.3974236","{'11', '18'}",Q65691740
1772,19841772,Viersener Strasse,bus,"52.54020417705652, 13.17462661157195",{'63'},nan
1773,19841773,Viktoria-Luise-Platz,u-bahn,"52.496161111111,13.342702777778",{'4'},Q178685
1774,19841774,Volkradstrasse,bus,"52.50345392170722, 13.510019662040241",{'96'},nan
1775,19841775,Vollkropfgraben,strassenbahn,"52.4386665,13.5714889",{'86'},Q66493847
1776,19841776,Voltastrasse,bus,"52.54009360944326, 13.384910258603504",{'12'},nan
1777,19841777,Voltastrasse,u-bahn,"52.542093,13.393022",{'8'},Q663308
1778,19841778,Vulkanstrasse,bus,"52.53363474159389, 13.484988714739918",{'56'},nan
1779,19841779,Waidmannslust Titiseestrasse,bus,"52.607542589578465, 13.332434343087694",{'22'},nan
1780,19841780,Waldfriedhof,bus,"52.4262240706232, 13.209821442748183",{'3'},nan
1781,19841781,Waldkrankenhaus,bus,"52.56214542863615, 13.158340085815741",{'5'},nan
1782,19841782,Waldowallee,bus,"52.489915686840135, 13.527955282597574",{'96'},nan
1783,19841783,Waldsassener Strasse,bus,"52.412459568646206, 13.34975050304383","{'2', '11'}",nan
1784,19841784,Waldschulallee,bus,"52.497158989372906, 13.270676981637067",{'69'},nan
